GUID	标题	资源类型	检查类型	路径	资源白名单规则	物体白名单规则	参数	危险等级	是否参与特效检测	是否参与CICD检测	是否检查子目录	备注
1	特效纹理尺寸-Textures/Common/Galaxy	1	0	Assets/Art/Effects/Textures/Common/Galaxy			2;2	1	True	True	True	
2	特效纹理命名-Textures/Common/Galaxy	6	0	Assets/Art/Effects/Textures/Common/Galaxy			^Galaxy_	1	True	True	True	
3	特效纹理尺寸-Textures/Common/Glass	1	0	Assets/Art/Effects/Textures/Common/Glass			1;1	1	True	True	True	
4	特效纹理命名-Textures/Common/Glass	6	0	Assets/Art/Effects/Textures/Common/Glass			^Glass_	1	True	True	True	
5	特效纹理尺寸-Textures/Common/Mask	1	0	Assets/Art/Effects/Textures/Common/Mask			2;2	1	True	True	True	
6	特效纹理命名-Textures/Common/Mask	6	0	Assets/Art/Effects/Textures/Common/Mask			^Alpha_	1	True	True	True	
7	特效纹理尺寸-Textures/Common/Noise	1	0	Assets/Art/Effects/Textures/Common/Noise			2;2	1	True	True	True	
8	特效纹理命名-Textures/Common/Noise	6	0	Assets/Art/Effects/Textures/Common/Noise			^Noise_	1	True	True	True	
9	特效纹理尺寸-Textures/Common/Normal	1	0	Assets/Art/Effects/Textures/Common/Normal			2;2	1	True	True	True	
10	特效纹理命名-Textures/Common/Normal	6	0	Assets/Art/Effects/Textures/Common/Normal			^Normal_	1	True	True	True	
11	特效纹理尺寸-Textures/Features/Elec	1	0	Assets/Art/Effects/Textures/Features/Elec			3;3	1	True	True	True	; Elec 序列帧 256，单个图片 128
12	特效纹理命名-Textures/Features/Elec	6	0	Assets/Art/Effects/Textures/Features/Elec			^elec_	1	True	True	True	; Elec 序列帧 256，单个图片 128
13	特效纹理尺寸-Textures/Features/Fire	1	0	Assets/Art/Effects/Textures/Features/Fire			3;3	1	True	True	True	; Fire都是序列帧
14	特效纹理命名-Textures/Features/Fire	6	0	Assets/Art/Effects/Textures/Features/Fire			^fire_	1	True	True	True	; Fire都是序列帧
15	特效纹理尺寸-Textures/Features/Pattern	1	0	Assets/Art/Effects/Textures/Features/Pattern			2;2	1	True	True	True	; 暂定 <=128,目前大的法阵比较少
16	特效纹理命名-Textures/Features/Pattern	6	0	Assets/Art/Effects/Textures/Features/Pattern			^pattern_	1	True	True	True	; 暂定 <=128,目前大的法阵比较少
17	特效纹理尺寸-Textures/Features/Ray	1	0	Assets/Art/Effects/Textures/Features/Ray			2;2	1	True	True	True	
18	特效纹理命名-Textures/Features/Ray	6	0	Assets/Art/Effects/Textures/Features/Ray			^ray_	1	True	True	True	
19	特效纹理尺寸-Textures/Features/Smoke	1	0	Assets/Art/Effects/Textures/Features/Smoke			3;3	1	True	True	True	; <=256，smoke单张贴图为128，多帧序列帧会需要用到256
20	特效纹理命名-Textures/Features/Smoke	6	0	Assets/Art/Effects/Textures/Features/Smoke			^smoke_	1	True	True	True	; <=256，smoke单张贴图为128，多帧序列帧会需要用到256
21	特效纹理尺寸-Textures/Features/Snow	1	0	Assets/Art/Effects/Textures/Features/Snow			2;2	1	True	True	True	
22	特效纹理命名-Textures/Features/Snow	6	0	Assets/Art/Effects/Textures/Features/Snow			^snow_	1	True	True	True	
23	特效纹理尺寸-Textures/Features/Star	1	0	Assets/Art/Effects/Textures/Features/Star			2;2	1	True	True	True	
24	特效纹理命名-Textures/Features/Star	6	0	Assets/Art/Effects/Textures/Features/Star			^star_	1	True	True	True	
25	特效纹理尺寸-Textures/Features/Trail	1	0	Assets/Art/Effects/Textures/Features/Trail			2;2	1	True	True	True	
26	特效纹理命名-Textures/Features/Trail	6	0	Assets/Art/Effects/Textures/Features/Trail			^trail_	1	True	True	True	
27	特效纹理尺寸-Textures/Features/Vein	1	0	Assets/Art/Effects/Textures/Features/Vein			2;2	1	True	True	True	
28	特效纹理命名-Textures/Features/Vein	6	0	Assets/Art/Effects/Textures/Features/Vein			^vein_	1	True	True	True	
29	特效纹理尺寸-Textures/Features/Water	1	0	Assets/Art/Effects/Textures/Features/Water			3;3	1	True	True	True	; <256，water单张贴图为128，多帧序列帧会需要用到256
30	特效纹理命名-Textures/Features/Water	6	0	Assets/Art/Effects/Textures/Features/Water			^water_	1	True	True	True	; <256，water单张贴图为128，多帧序列帧会需要用到256
31	特效纹理尺寸-Textures/GamePlay/AbilitiesCards	1	0	Assets/Art/Effects/Textures/GamePlay/AbilitiesCards			3;3	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
32	特效纹理命名-Textures/GamePlay/AbilitiesCards	6	0	Assets/Art/Effects/Textures/GamePlay/AbilitiesCards			(^Sfx_Tricks_)|(^Sfx_Character_)	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
33	特效纹理尺寸-Textures/GamePlay/Aerocraft	1	0	Assets/Art/Effects/Textures/GamePlay/Aerocraft			2;2	1	True	True	True	
34	特效纹理命名-Textures/GamePlay/Aerocraft	6	0	Assets/Art/Effects/Textures/GamePlay/Aerocraft			^Sfx_Aerocraft_	1	True	True	True	
